Country,Official Name,Region,Subregion,Capital,Population,Area (km²),Currencies,Languages,Timezones,Independent
India,Republic of India,Asia,Southern Asia,New Delhi,1417492000,3287263.0,Indian rupee (INR),"English, Hindi, Tamil",UTC+05:30,True
China,People's Republic of China,Asia,Eastern Asia,Beijing,1408280000,9706961.0,Chinese yuan (CNY),Chinese,UTC+08:00,True
United States,United States of America,Americas,North America,"Washington, D.C.",340110988,9525067.0,United States dollar (USD),English,"UTC-12:00, UTC-11:00, UTC-10:00, UTC-09:00, UTC-08:00, UTC-07:00, UTC-06:00, UTC-05:00, UTC-04:00, UTC+10:00, UTC+12:00",True
Indonesia,Republic of Indonesia,Asia,South-Eastern Asia,Jakarta,284438782,1904569.0,Indonesian rupiah (IDR),Indonesian,"UTC+07:00, UTC+08:00, UTC+09:00",True
Pakistan,Islamic Republic of Pakistan,Asia,Southern Asia,Islamabad,241499431,796095.0,Pakistani rupee (PKR),"English, Urdu",UTC+05:00,True
Nigeria,Federal Republic of Nigeria,Africa,Western Africa,Abuja,223800000,923768.0,Nigerian naira (NGN),English,UTC+01:00,True
Brazil,Federative Republic of Brazil,Americas,South America,Brasília,213421037,8515767.0,Brazilian real (BRL),Portuguese,"UTC-05:00, UTC-04:00, UTC-03:00, UTC-02:00",True
Bangladesh,People's Republic of Bangladesh,Asia,Southern Asia,Dhaka,169828911,147570.0,Bangladeshi taka (BDT),Bengali,UTC+06:00,True
Russia,Russian Federation,Europe,Eastern Europe,Moscow,146028325,17098246.0,Russian ruble (RUB),Russian,"UTC+03:00, UTC+04:00, UTC+06:00, UTC+07:00, UTC+08:00, UTC+09:00, UTC+10:00, UTC+11:00, UTC+12:00",True
Mexico,United Mexican States,Americas,North America,Mexico City,130575786,1964375.0,Mexican peso (MXN),Spanish,"UTC-08:00, UTC-07:00, UTC-06:00",True
Japan,Japan,Asia,Eastern Asia,Tokyo,123210000,377930.0,Japanese yen (JPY),Japanese,UTC+09:00,True
Philippines,Republic of the Philippines,Asia,South-Eastern Asia,Manila,114123600,342353.0,Philippine peso (PHP),"English, Filipino",UTC+08:00,True
DR Congo,Democratic Republic of the Congo,Africa,Middle Africa,Kinshasa,112832000,2344858.0,Congolese franc (CDF),"French, Kikongo, Lingala, Swahili, Tshiluba","UTC+01:00, UTC+02:00",True
Ethiopia,Federal Democratic Republic of Ethiopia,Africa,Eastern Africa,Addis Ababa,111652998,1104300.0,Ethiopian birr (ETB),Amharic,UTC+03:00,True
Egypt,Arab Republic of Egypt,Africa,Northern Africa,Cairo,107271260,1002450.0,Egyptian pound (EGP),Arabic,UTC+02:00,True
Vietnam,Socialist Republic of Vietnam,Asia,South-Eastern Asia,Hanoi,101343800,331212.0,Vietnamese đồng (VND),Vietnamese,UTC+07:00,True
Iran,Islamic Republic of Iran,Asia,Southern Asia,Tehran,85961000,1648195.0,Iranian rial (IRR),Persian (Farsi),UTC+03:30,True
Turkey,Republic of Turkey,Asia,Western Asia,Ankara,85664944,783562.0,Turkish lira (TRY),Turkish,UTC+03:00,True
Germany,Federal Republic of Germany,Europe,Western Europe,Berlin,83491249,357114.0,euro (EUR),German,UTC+01:00,True
United Kingdom,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,London,69281437,244376.0,British pound (GBP),English,"UTC-08:00, UTC-05:00, UTC-04:00, UTC-03:00, UTC-02:00, UTC, UTC+01:00, UTC+02:00, UTC+06:00",True
Tanzania,United Republic of Tanzania,Africa,Eastern Africa,Dodoma,68153004,947303.0,Tanzanian shilling (TZS),"English, Swahili",UTC+03:00,True
France,French Republic,Europe,Western Europe,Paris,66351959,543908.0,euro (EUR),French,"UTC-10:00, UTC-09:30, UTC-09:00, UTC-08:00, UTC-04:00, UTC-03:00, UTC+01:00, UTC+02:00, UTC+03:00, UTC+04:00, UTC+05:00, UTC+10:00, UTC+11:00, UTC+12:00",True
Thailand,Kingdom of Thailand,Asia,South-Eastern Asia,Bangkok,65859640,513120.0,Thai baht (THB),Thai,UTC+07:00,True
South Africa,Republic of South Africa,Africa,Southern Africa,Pretoria,63100945,1221037.0,South African rand (ZAR),"Afrikaans, English, Northern Sotho, Southern Ndebele, Southern Sotho, Swazi, Tsonga, Tswana, Venda, Xhosa, Zulu",UTC+02:00,True
Italy,Italian Republic,Europe,Southern Europe,Rome,58927633,301336.0,euro (EUR),"Catalan, Italian",UTC+01:00,True
Kenya,Republic of Kenya,Africa,Eastern Africa,Nairobi,53330978,580367.0,Kenyan shilling (KES),"English, Swahili",UTC+03:00,True
Colombia,Republic of Colombia,Americas,South America,Bogotá,53057212,1141748.0,Colombian peso (COP),Spanish,UTC-05:00,True
Sudan,Republic of the Sudan,Africa,Northern Africa,Khartoum,51662000,1886068.0,Sudanese pound (SDG),"Arabic, English",UTC+03:00,True
Myanmar,Republic of the Union of Myanmar,Asia,South-Eastern Asia,Naypyidaw,51316756,676578.0,Burmese kyat (MMK),Burmese,UTC+06:30,True
South Korea,Republic of Korea,Asia,Eastern Asia,Seoul,51159889,100210.0,South Korean won (KRW),Korean,UTC+09:00,True
Spain,Kingdom of Spain,Europe,Southern Europe,Madrid,49315949,505992.0,euro (EUR),"Basque, Catalan, Galician, Spanish","UTC, UTC+01:00",True
Algeria,People's Democratic Republic of Algeria,Africa,Northern Africa,Algiers,47400000,2381741.0,Algerian dinar (DZD),Arabic,UTC+01:00,True
Argentina,Argentine Republic,Americas,South America,Buenos Aires,46735004,2780400.0,Argentine peso (ARS),"Guaraní, Spanish",UTC-03:00,True
Iraq,Republic of Iraq,Asia,Western Asia,Baghdad,46118793,438317.0,Iraqi dinar (IQD),"Arabic, Aramaic, Sorani",UTC+03:00,True
Uganda,Republic of Uganda,Africa,Eastern Africa,Kampala,45905417,241550.0,Ugandan shilling (UGX),"English, Swahili",UTC+03:00,True
Afghanistan,Islamic Republic of Afghanistan,Asia,Southern Asia,Kabul,43844000,652230.0,Afghan afghani (AFN),"Dari, Pashto, Turkmen",UTC+04:30,True
Canada,Canada,Americas,North America,Ottawa,41651653,9984670.0,Canadian dollar (CAD),"English, French","UTC-08:00, UTC-07:00, UTC-06:00, UTC-05:00, UTC-04:00, UTC-03:30",True
Uzbekistan,Republic of Uzbekistan,Asia,Central Asia,Tashkent,37859698,447400.0,Uzbekistani soʻm (UZS),"Russian, Uzbek",UTC+05:00,True
Poland,Republic of Poland,Europe,Central Europe,Warsaw,37392000,312679.0,Polish złoty (PLN),Polish,UTC+01:00,True
Morocco,Kingdom of Morocco,Africa,Northern Africa,Rabat,36828330,446550.0,Moroccan dirham (MAD),"Arabic, Berber",UTC,True
Angola,Republic of Angola,Africa,Middle Africa,Luanda,36170961,1246700.0,Angolan kwanza (AOA),Portuguese,UTC+01:00,True
Saudi Arabia,Kingdom of Saudi Arabia,Asia,Western Asia,Riyadh,35300280,2149690.0,Saudi riyal (SAR),Arabic,UTC+03:00,True
Peru,Republic of Peru,Americas,South America,Lima,34350244,1285216.0,Peruvian sol (PEN),"Aymara, Quechua, Spanish",UTC-05:00,True
Malaysia,Malaysia,Asia,South-Eastern Asia,Kuala Lumpur,34231700,330803.0,Malaysian ringgit (MYR),"English, Malay",UTC+08:00,True
Mozambique,Republic of Mozambique,Africa,Eastern Africa,Maputo,34090466,801590.0,Mozambican metical (MZN),Portuguese,UTC+02:00,True
Ghana,Republic of Ghana,Africa,Western Africa,Accra,33742380,238533.0,Ghanaian cedi (GHS),English,UTC,True
Ukraine,Ukraine,Europe,Eastern Europe,Kyiv,32862000,603550.0,Ukrainian hryvnia (UAH),Ukrainian,UTC+02:00,True
Yemen,Republic of Yemen,Asia,Western Asia,Sana'a,32684503,527968.0,Yemeni rial (YER),Arabic,UTC+03:00,True
Madagascar,Republic of Madagascar,Africa,Eastern Africa,Antananarivo,31727042,587041.0,Malagasy ariary (MGA),"French, Malagasy",UTC+03:00,True
Ivory Coast,Republic of Côte d'Ivoire,Africa,Western Africa,Yamoussoukro,31719275,322463.0,West African CFA franc (XOF),French,UTC,True
Nepal,Federal Democratic Republic of Nepal,Asia,Southern Asia,Kathmandu,29911840,147181.0,Nepalese rupee (NPR),Nepali,UTC+05:45,True
Cameroon,Republic of Cameroon,Africa,Middle Africa,Yaoundé,29442327,475442.0,Central African CFA franc (XAF),"English, French",UTC+01:00,True
Venezuela,Bolivarian Republic of Venezuela,Americas,South America,Caracas,28517000,916445.0,Venezuelan bolívar soberano (VES),Spanish,UTC-04:00,True
Australia,Commonwealth of Australia,Oceania,Australia and New Zealand,Canberra,27536874,7692024.0,Australian dollar (AUD),English,"UTC+05:00, UTC+06:30, UTC+07:00, UTC+08:00, UTC+09:30, UTC+10:00, UTC+10:30, UTC+11:30",True
Niger,Republic of Niger,Africa,Western Africa,Niamey,26312034,1267000.0,West African CFA franc (XOF),French,UTC+01:00,True
North Korea,Democratic People's Republic of Korea,Asia,Eastern Asia,Pyongyang,25950000,120538.0,North Korean won (KPW),Korean,UTC+09:00,True
Syria,Syrian Arab Republic,Asia,Western Asia,Damascus,25620000,185180.0,Syrian pound (SYP),Arabic,UTC+02:00,True
Burkina Faso,Burkina Faso,Africa,Western Africa,Ouagadougou,24070553,272967.0,West African CFA franc (XOF),French,UTC,True
